time,energy
379364007.460975,3893
379364008.474171,10854
379364011.69663,2451
379364014.573313,1667
379364016.102779,4313
379364019.791014,329
379364021.961976,2841
379364027.238425,12588
379364026.858042,226
379364030.006751,1223
379364032.832559,1066
379364032.794664,2979
379364035.598215,11500
379364034.537821,11329
379364036.29009,4663
379364038.743252,565
379364039.181548,270
379364045.909552,2348
379364045.55815,2014
379364047.548994,4581
379364049.383908,1252
379364051.281084,841
379364053.871458,5201
379364056.446749,1329
379364057.490224,154
379364056.773241,8926
379364059.362075,6981
379364064.163437,5168
379364064.800109,3623
379364067.764446,364
379364068.442511,295
379364073.331425,202
379364073.282001,12653
379364075.287691,2138
379364078.005897,539
379364082.216832,9458
379364082.840966,1476
379364085.090451,1757
379364086.367242,2218
379364087.933199,3839
379364092.541955,3687
379364094.239366,835
379364095.99926,4926
379364100.700688,1102
379364100.359416,1279
379364102.901033,12566
379364104.234653,3975
379364107.063608,2149
379364109.602609,471
379364111.178778,921
379364112.038946,1966
379364114.185266,3093
379364117.313067,1040
379364120.764385,111
379364122.885396,738
379364126.045909,5853
379364127.009368,12482
379364129.659602,2810
379364129.481578,2506
379364132.666892,4544
379364135.337899,8399
379364139.166055,3553
379364140.933087,644
379364143.902206,12438
379364147.346979,413
379364146.486311,1382
379364148.66364,5179
379364148.380633,3210
379364150.542045,9332
379364154.331668,111
379364156.23606,1246
379364159.10925,1385
379364161.485148,2252
379364164.558902,1960
379364167.381404,455
379364166.384172,6534
379364170.744808,1474
379364173.193073,1313
379364175.505905,103
379364179.786502,1684
379364181.634254,1263
379364186.363347,1187
379364188.691999,3700
379364187.028192,731
379364190.138362,12465
379364194.217481,998
379364194.702199,664
379364199.35006,555
379364201.12371,875
379364203.220551,3073
379364206.174901,12840
379364208.695975,829
379364208.783193,12428
379364211.585411,1467
379364212.68198,368
379364215.91792,2680
379364219.631531,677
379364217.879924,1634
379364225.250251,3534
379364226.230577,7376
379364228.39061,5793
379364232.818229,10805
379364235.020701,12928
379364239.093053,1510
379364241.25333,1095
379364244.088664,12864
379364248.465558,566
379364249.587409,1424
379364252.446798,6663
379364252.08317,3324
379364258.540296,198
379364261.718334,7176
379364262.671951,104
379364265.237698,2499
379364267.275551,1526
379364272.4674,1206
379364276.294534,1982
379364280.592097,6756
379364285.004382,3487
379364283.799966,12358
379364286.546901,2311
379364290.902192,953
379364294.331187,584
379364297.791697,1462
379364297.054725,634
379364300.048864,6393
379364302.044102,11721
379364303.913453,1734
379364304.718465,2004
379364307.663638,716
379364310.430806,192
379364309.952037,6060
379364312.221542,2173
379364314.773668,12309
379364318.441581,9451
379364319.821803,1538
379364323.898607,4521
379364326.194576,12769
379364329.481459,9233
379364329.758179,2210
379364333.071817,3311
379364335.589272,6238
379364335.41997,3345
379364338.878829,7736
379364344.749651,1192
379364344.45644,985
379364348.212908,2505
379364348.245459,334
379364351.677958,7485
379364351.06405,2970
379364353.552821,10642
379364357.624266,12632
379364359.509485,82
379364362.370915,3138
379364362.456762,535
379364363.66143,823
379364364.919573,8699
379364366.967709,3601
379364369.029305,6009
379364370.919785,999
379364371.942562,1179
379364375.053797,2568
379364377.978349,3045
379364380.522462,2552
379364382.669522,990
379364386.04627,12400
379364387.312706,1523
379364390.621547,12335
379364394.149956,947
379364392.576297,10617
379364396.9394,2218
379364396.860235,3925
379364399.423933,6269
379364401.196801,907
379364404.328614,2477
379364406.699887,13146
379364404.992134,240
379364408.024573,11644
379364412.526268,2570
379364412.592462,1118
379364414.804765,340
379364416.130225,6817
379364418.787152,8400
379364422.662932,6783
379364424.170413,2544
379364425.807656,839
379364426.814072,2728
379364429.639302,1604
379364430.901519,1453
379364433.257604,1931
379364436.009104,385
379364437.670128,3514
379364436.247096,1024
379364438.934047,12416
379364440.832596,450
379364442.215678,13067
379364446.017242,7033
379364448.792582,108
379364450.307677,12467
379364451.584523,4516
379364452.529214,456
379364456.872209,5912
379364454.438229,959
379364457.48693,9885
379364457.411445,240
379364464.369952,735
379364466.949282,12489
379364465.502873,5154
379364469.83826,5925
379364471.478479,771
379364470.723379,11972
379364474.953962,12441
379364473.256688,1234
379364476.995251,11411
379364476.04642,2591
379364479.073884,2104
379364478.895673,116
379364481.729008,89
379364483.314565,550
379364483.622149,3350
379364487.991523,8562
379364487.506747,5830
379364489.215289,6054
379364490.008051,3392
379364491.546959,1263
379364493.448082,7443
379364495.490066,1115
379364498.310099,6852
379364497.526904,12550
379364498.654874,964
379364499.568318,236
379364502.129336,3184
379364503.004149,645
379364505.82771,5913
379364508.347398,292
379364510.980467,12490
379364509.330881,10388
379364511.908723,1192
379364513.120123,705
379364514.287783,1372
379364514.708405,461
379364518.599742,655
379364516.902236,10475
379364520.204646,250
379364522.023141,201
379364523.323475,1027
379364526.362876,1681
379364524.773946,12619
379364528.419034,102
379364531.521204,6836
379364532.367797,915
379364533.000247,10310
379364536.034958,3192
379364536.9244,12672
379364541.186587,873
379364542.548706,2368
379364543.815318,2095
379364544.302253,12691
379364545.871341,109
379364549.308811,2394
379364548.810121,1581
379364551.043698,389
379364551.582291,1990
379364553.840985,1383
379364553.479086,1230
379364556.776468,4925
379364557.632945,8451
379364558.548206,2826
379364559.672573,5777
379364562.709807,2036
379364562.786813,8623
379364563.492671,1610
379364565.169532,7473
379364564.587081,1603
379364566.945586,6620
379364570.599065,3792
379364569.01086,5830
379364571.583807,5481
379364571.673351,12614
379364575.372214,7079
379364574.136815,763
379364575.774169,4235
379364577.891921,12998
379364576.615693,1071
379364581.71268,7525
379364581.05482,202
379364583.307258,4575
379364581.858633,615
379364583.564478,3618
379364586.142196,5807
379364586.72728,12634
379364587.718721,13313
379364587.330097,1604
379364591.552317,2412
379364590.618205,3117
379364592.840157,2813
379364593.279302,120
379364593.72623,9526
379364595.938497,347
379364595.295086,1694
379364599.826678,890
379364599.416658,3283
379364601.475814,1204
379364601.007958,9833
379364600.548587,12763
379364605.036731,2422
379364604.534196,1702
379364607.217084,3187
379364606.298125,4429
379364610.123909,4828
379364608.015332,4204
379364609.0228,7669
379364612.254056,3301
379364612.422475,1116
379364615.044106,3880
379364617.170853,1792
379364617.050254,12690
379364618.371916,1701
379364620.643732,905
379364621.056556,7654
379364620.810384,1706
379364625.308476,12661
379364624.811815,100
379364628.281518,4029
379364627.305802,7527
379364627.811553,2780
379364628.70347,2520
379364633.587744,1830
379364634.106587,1794
379364634.522049,2091
379364634.029402,2255
379364636.649939,279
379364640.745193,652
379364640.267708,2242
379364642.57774,1247
379364644.887738,6316
379364645.834702,3385
379364649.065845,370
379364651.894217,3805
379364650.065964,8443
379364652.51241,977
379364655.408827,12694
379364656.897582,894
379364658.076666,2491
379364661.180835,1646
379364664.122148,1454
379364664.040355,12682
379364665.30536,1421
379364665.25735,5988
379364669.733704,684
379364668.30663,2901
379364670.444964,1166
379364670.96147,419
379364674.634697,12684
379364674.62735,93
379364674.775035,1033
379364676.33605,1262
379364676.970419,3605
379364678.209615,1255
379364682.553621,811
379364681.931328,1561
379364683.551608,2739
379364684.967251,13005
379364688.327869,853
379364689.704937,4461
379364689.407229,6748
379364693.202227,6010
379364695.29141,2932
379364693.61155,2193
379364697.0891,165
379364701.329456,493
379364700.240144,1645
379364702.614054,7796
379364706.400877,3960
379364706.111144,5234
379364711.358938,917
379364710.431851,3720
379364711.974067,3841
379364714.691616,7797
379364718.133132,12771
379364723.939311,411
379364725.202219,12764
379364727.722944,2790
379364734.445434,277
379364738.907506,1537
379364741.623491,12816
379364745.266149,1973
379364747.487356,8845
379364750.489119,3269
379364753.093916,1490
379364755.279425,4021
379364756.502215,5784
379364759.377846,174
379364762.305584,7394
379364764.977215,1646
379364766.678824,1391
379364770.676297,5094
379364770.990212,640
379364773.14965,6569
379364775.365021,530
379364774.174162,2359
379364778.199637,1959
379364781.33586,9719
379364779.980666,2604
379364782.826615,4563
379364783.595445,4517
379364786.417385,12854
379364788.346103,859
379364789.045412,10143
379364792.056006,2193
379364791.946421,1110
379364794.843207,1284
379364793.437403,2848
379364792.766197,447
379364795.24863,2011
379364798.205976,6479
379364799.233099,1189
379364799.507172,5826
379364800.88813,10217
379364802.566157,6740
379364803.358684,513
